,Make,Model Family,Year,Price_USD_Thousands,Mileage,Listing Year,_make_model
314,FERRARI,360,2004,120.5,25000.0,2020,FERRARI_360
315,FERRARI,360,2001,63.220253164556965,36000.0,2020,FERRARI_360
316,FERRARI,360,2005,148.1012658227848,46442.0,2020,FERRARI_360
317,FERRARI,360,1999,75.99,43925.0,2024,FERRARI_360
318,FERRARI,360,2001,66.83544303797467,20636.0,2020,FERRARI_360
319,FERRARI,360,2004,156.0,24000.0,2020,FERRARI_360
320,FERRARI,360,2004,68.0,36000.0,2020,FERRARI_360
321,FERRARI,360,2002,62.5,23100.0,2020,FERRARI_360
322,FERRARI,360,2000,65.0,17000.0,2020,FERRARI_360
323,FERRARI,360,2002,69.0,14000.0,2020,FERRARI_360
324,FERRARI,360,1999,57.0,26500.0,2020,FERRARI_360
325,FERRARI,360,2000,66.0,11000.0,2020,FERRARI_360
326,FERRARI,360,2004,76.5,21000.0,2021,FERRARI_360
327,FERRARI,360,2000,50.31772151898734,75000.0,2020,FERRARI_360
328,FERRARI,360,2002,100.0,21000.0,2020,FERRARI_360
329,FERRARI,360,2003,73.0,28687.0,2020,FERRARI_360
330,FERRARI,360,2001,58.95913978494623,28469.0,2023,FERRARI_360
331,FERRARI,360,2004,55.69620253164557,34000.0,2020,FERRARI_360
332,FERRARI,360,2001,64.74683544303797,41867.0,2020,FERRARI_360
333,FERRARI,360,2001,125.0,26160.0,2023,FERRARI_360
334,FERRARI,360,2001,93.9873417721519,4740.0,2020,FERRARI_360
335,FERRARI,360,1999,79.0,26000.0,2020,FERRARI_360
336,FERRARI,360,1999,86.32911392405063,7595.0,2020,FERRARI_360
337,FERRARI,360,2000,64.9,16700.0,2020,FERRARI_360
338,FERRARI,360,2004,104.0,23000.0,2020,FERRARI_360
339,FERRARI,360,2002,70.5,55000.0,2020,FERRARI_360
340,FERRARI,360,2003,62.0,21000.0,2020,FERRARI_360
341,FERRARI,360,2000,136.0,40000.0,2022,FERRARI_360
342,FERRARI,360,2002,55.86,33000.0,2020,FERRARI_360
343,FERRARI,360,2004,99.0,15000.0,2020,FERRARI_360
344,FERRARI,360,2003,97.0,38000.0,2021,FERRARI_360
345,FERRARI,360,2001,60.5,30830.0,2020,FERRARI_360
346,FERRARI,360,2004,117.0,600.0,2021,FERRARI_360
347,FERRARI,360,2004,155.0,18000.0,2020,FERRARI_360
348,FERRARI,360,2002,128.0,26000.0,2023,FERRARI_360
349,FERRARI,360,1999,60.0,15000.0,2020,FERRARI_360
350,FERRARI,360,2002,69.5,28000.0,2020,FERRARI_360
351,FERRARI,360,2003,109.0,12000.0,2020,FERRARI_360
352,FERRARI,360,2004,92.0,28000.0,2020,FERRARI_360
354,FERRARI,360,2001,82.5,12110.0,2022,FERRARI_360
355,FERRARI,360,1999,92.4,13000.0,2020,FERRARI_360
356,FERRARI,360,2004,160.0,15000.0,2022,FERRARI_360
357,FERRARI,360,2000,66.0,10800.0,2019,FERRARI_360
